#{"t_start": 1733529223.051278, "env_id": "BipedalWalker-v3"}
r,l,t
319.745877,820,19566.651142
319.808611,832,19574.53979
319.096701,830,19581.64072
321.278233,816,19588.717149
318.452485,809,19595.59468
317.143223,823,19602.674955
318.539636,814,19609.694212
316.36136,833,19616.970723
-23.636007,252,19619.188389
319.158104,822,19626.169716
320.097279,824,19633.215443
319.985674,814,19640.27437
316.987644,850,19647.526895
116.2084,604,19652.792039
317.929511,836,19661.208616
318.677112,835,19668.068801
318.48587,837,19675.36031
301.16446,1085,19684.825354
318.670844,828,19691.983597
318.721365,825,19699.218809
317.420798,846,19706.429046
317.583225,836,19713.607374
318.098629,837,19720.732028
318.76361,835,19727.905054
318.841202,855,19735.284789
318.635782,834,19742.486825
319.931484,837,19751.063048
319.402019,836,19757.754346
319.887157,832,19764.861773
321.023699,824,19772.028366
319.172853,826,19779.025967
318.636339,858,19786.313102
319.903769,863,19793.739061
319.417574,826,19800.84281
320.206365,847,19808.017842
319.356775,830,19815.065758
317.99512,835,19822.016607
319.045933,829,19828.976862
319.761605,819,19837.027867
320.183765,811,19843.855466
320.490716,820,19850.590474
317.593059,823,19857.573731
318.87133,841,19864.853104
319.285266,846,19872.067827
-109.637742,40,19872.404783
-107.882553,56,19872.878233
-109.676887,41,19873.221908
-109.912861,47,19873.623027
-110.051977,40,19873.957078
-109.744368,41,19874.30889
-109.960929,41,19874.675078
-110.952601,40,19875.023588
-110.890128,41,19875.368036
-111.444787,41,19875.718177
-109.996938,41,19876.065886
-110.02421,41,19876.413588
-110.346559,40,19876.751785
-110.600626,41,19877.174347
-111.65391,49,19877.595131
-121.157382,63,19878.137105
-117.686009,64,19878.698716
-105.580174,87,19879.456256
-113.422948,79,19880.151352
316.823155,850,19887.372415
321.425817,827,19894.452137
323.632585,812,19901.392219
320.713822,833,19908.569677
319.982754,839,19915.794631
318.699706,845,19924.39499
320.7001,829,19931.481424
116.86094,602,19936.521433
320.575026,820,19943.091696
